Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
VEH ,JHHRDM2HXHK004267,COM,KATONAH        ,NY,10536,WESTCHESTER ,2017,HINO ,VAN ,DIESEL  ,,"19,500",,3/19/2019,4/30/2020,WH   ,N,N,N
VEH ,JALE5W169J7301953,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2018,ISUZU,UTIL,DIESEL  ,,"19,500",,3/20/2019,3/31/2020,WH   ,N,N,N
VEH ,JALE5W169H7300683,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2017,ISUZU,DUMP,DIESEL  ,,"19,500",,5/23/2019,6/30/2020,WH   ,N,N,N
VEH ,JALE5W169D7300757,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2013,ISUZU,UTIL,DIESEL  ,,"19,500",,2/12/2019,2/28/2020,WH   ,N,N,N
VEH ,JALE5W16887900935,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2008,ISUZU,UTIL,DIESEL  ,,"17,950",,2/16/2018,2/28/2020,WH   ,N,N,N
VEH ,JALE5W16887300769,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2008,ISUZU,UTIL,DIESEL  ,,"19,500",,2/12/2019,2/28/2020,WH   ,N,N,N
VEH ,JALE5W168K7302397,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2019,ISUZU,UTIL,DIESEL  ,,"19,500",,3/5/2019,3/31/2020,WH   ,N,N,N
VEH ,JALE5W168G7304075,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2016,ISUZU,UTIL,DIESEL  ,,"19,500",,5/14/2019,5/31/2020,WH   ,N,N,N
VEH ,JALE5W168E7301027,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2014,ISUZU,DELV,DIESEL  ,,"19,500",,2/12/2019,2/28/2020,WH   ,N,N,N
VEH ,JALE5W167J7901841,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2018,ISUZU,UTIL,DIESEL  ,,"17,950",,3/20/2018,3/31/2020,WH   ,N,N,N
VEH ,JALE5W167H7302559,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2017,ISUZU,UTIL,DIESEL  ,,"19,500",,3/20/2019,3/31/2020,WH   ,N,N,N
VEH ,JALE5W167F7900969,COM,BEDFORD        ,NY,10506,WESTCHESTER ,2015,ISUZU,UTIL,DIESEL  ,,"17,950",,2/1/2019,1/31/2021,WH   ,N,N,N
VEH ,JALE5W167E7902140,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2014,ISUZU,DELV,DIESEL  ,,"17,950",,2/21/2018,2/28/2020,WH   ,N,N,N
VEH ,JALE5W167D7300062,TOW,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2013,ISUZU,FLAT,DIESEL  ,,"19,500",,4/4/2019,4/9/2020,WH   ,N,N,N
VEH ,JALE5W16687300513,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2008,ISUZU,UTIL,DIESEL  ,,"19,500",,2/12/2019,2/28/2020,WH   ,N,N,N
VEH ,JALE5W16687300334,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2008,ISUZU,UTIL,DIESEL  ,,"19,500",,2/12/2019,2/28/2020,WH   ,N,N,N
VEH ,JALE5W166K7900407,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2019,ISUZU,UTIL,DIESEL  ,,"17,950",,10/24/2018,10/31/2020,WH   ,N,N,N
VEH ,JALE5W166J7301862,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2018,ISUZU,UTIL,DIESEL  ,,"19,500",,3/20/2019,3/31/2020,WH   ,N,N,N
VEH ,JALE5W166H7901534,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2017,ISUZU,UTIL,DIESEL  ,,"17,950",,3/18/2019,3/31/2021,WH   ,N,N,N
VEH ,JALE5W166H7901484,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2017,ISUZU,UTIL,DIESEL  ,,"17,950",,3/18/2019,3/31/2021,WH   ,N,N,N
VEH ,JALE5W166G7300865,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2016,ISUZU,UTIL,DIESEL  ,,"19,500",,2/12/2019,2/28/2020,WH   ,N,N,N
VEH ,JALE5W16587300549,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2008,ISUZU,UTIL,DIESEL  ,,"19,500",,2/12/2019,2/28/2020,WH   ,N,N,N
VEH ,JALE5W165K7901211,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2019,ISUZU,UTIL,DIESEL  ,,"17,950",,3/5/2019,3/31/2021,WH   ,N,N,N
VEH ,JALE5W165K7302180,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2019,ISUZU,UTIL,DIESEL  ,,"19,500",,3/5/2019,3/31/2020,WH   ,N,N,N
VEH ,JALE5W165K7302146,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2019,ISUZU,UTIL,DIESEL  ,,"19,500",,3/5/2019,3/31/2020,WH   ,N,N,N
VEH ,JALE5W165J7302680,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2018,ISUZU,UTIL,DIESEL  ,,"19,500",,3/20/2019,3/31/2020,WH   ,N,N,N
VEH ,JALE5W165J7301853,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2018,ISUZU,UTIL,DIESEL  ,,"19,500",,3/20/2019,3/31/2020,WH   ,N,N,N
VEH ,JALE5W165H7300678,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2017,ISUZU,DUMP,DIESEL  ,,"19,500",,8/12/2019,9/30/2020,WH   ,N,N,N
VEH ,JALE5W16487300669,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2008,ISUZU,UTIL,DIESEL  ,,"19,500",,2/12/2019,2/28/2020,WH   ,N,N,N
VEH ,JALE5W164K7302820,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2019,ISUZU,UTIL,DIESEL  ,,"19,500",,8/26/2019,3/31/2020,WH   ,N,N,N
VEH ,JALE5W164K7302218,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2019,ISUZU,UTIL,DIESEL  ,,"19,500",,3/7/2019,3/31/2020,WH   ,N,N,N
VEH ,JALE5W164H7301482,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2017,ISUZU,UTIL,DIESEL  ,,"19,500",,3/20/2019,3/31/2020,WH   ,N,N,N
VEH ,JALE5W163J7301849,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2018,ISUZU,UTIL,DIESEL  ,,"19,500",,3/20/2019,3/31/2020,WH   ,N,N,N
VEH ,JALE5W163H7901555,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2017,ISUZU,UTIL,DIESEL  ,,"17,950",,3/18/2019,3/31/2021,WH   ,N,N,N
VEH ,JALE5W163A7900265,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2010,ISUZU,UTIL,DIESEL  ,,"17,950",,3/23/2018,3/31/2020,WH   ,N,N,N
VEH ,JALE5W16287900932,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2008,ISUZU,UTIL,DIESEL  ,,"17,950",,2/21/2018,2/28/2020,WH   ,N,N,N
VEH ,JALE5W16287301075,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2008,ISUZU,UTIL,DIESEL  ,,"19,500",,4/19/2019,4/30/2020,WH   ,N,N,N
VEH ,JALE5W162K7901005,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2019,ISUZU,UTIL,DIESEL  ,,"17,950",,3/5/2019,3/31/2021,WH   ,N,N,N
VEH ,JALE5W162H7900932,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2017,ISUZU,UTIL,DIESEL  ,,"17,950",,3/18/2019,3/31/2021,WH   ,N,N,N
VEH ,JALE5W162G7901528,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2016,ISUZU,UTIL,DIESEL  ,,"17,950",,4/6/2018,4/30/2020,WH   ,N,N,N
VEH ,JALE5W162F7301106,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2015,ISUZU,UTIL,DIESEL  ,,"19,500",,1/25/2019,1/31/2020,WH   ,N,N,N
VEH ,JALE5W162D7901122,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2013,ISUZU,FLAT,DIESEL  ,,"17,950",,4/2/2019,4/30/2021,WH   ,N,N,N
